"year","county","route","route_num","count"
2022,"orange","orng-07",7,5
2023,"orange","orng-07",7,11
2024,"orange","orng-07",7,15
1999,"orange","orng-08",8,17
2000,"orange","orng-08",8,14
2001,"orange","orng-08",8,18
2002,"orange","orng-08",8,2
2003,"orange","orng-08",8,14
2004,"orange","orng-08",8,11
2005,"orange","orng-08",8,16
2006,"orange","orng-08",8,13
2007,"orange","orng-08",8,12
2008,"orange","orng-08",8,17
2009,"orange","orng-08",8,12
2010,"orange","orng-08",8,12
2011,"orange","orng-08",8,19
2012,"orange","orng-08",8,17
2013,"orange","orng-08",8,8
2014,"orange","orng-08",8,7
2015,"orange","orng-08",8,18
2016,"orange","orng-08",8,13
2017,"orange","orng-08",8,16
2018,"orange","orng-08",8,10
2019,"orange","orng-08",8,9
2020,"orange","orng-08",8,2
2021,"orange","orng-08",8,13
2022,"orange","orng-08",8,8
2023,"orange","orng-08",8,4
2024,"orange","orng-08",8,7
1999,"orange","orng-09",9,9
2000,"orange","orng-09",9,7
2001,"orange","orng-09",9,11
2002,"orange","orng-09",9,13
2004,"orange","orng-09",9,7
2005,"orange","orng-09",9,10
2006,"orange","orng-09",9,11
2007,"orange","orng-09",9,5
2008,"orange","orng-09",9,30
2009,"orange","orng-09",9,4
2011,"orange","orng-09",9,17
2012,"orange","orng-09",9,8
2013,"orange","orng-09",9,7
2014,"orange","orng-09",9,21
2015,"orange","orng-09",9,16
2016,"orange","orng-09",9,9
2019,"orange","orng-09",9,25
2020,"orange","orng-09",9,19
2021,"orange","orng-09",9,9
2022,"orange","orng-09",9,16
2023,"orange","orng-09",9,18
2024,"orange","orng-09",9,24
1999,"orange","orng-10",10,16
2000,"orange","orng-10",10,20
2001,"orange","orng-10",10,18
2002,"orange","orng-10",10,9
2003,"orange","orng-10",10,21
2004,"orange","orng-10",10,15
2005,"orange","orng-10",10,14
2006,"orange","orng-10",10,22
2007,"orange","orng-10",10,21
2008,"orange","orng-10",10,30
2009,"orange","orng-10",10,18
2012,"orange","orng-10",10,19
2013,"orange","orng-10",10,23
2016,"orange","orng-10",10,7
2017,"orange","orng-10",10,17
2018,"orange","orng-10",10,9
2019,"orange","orng-10",10,16
2020,"orange","orng-10",10,11
2021,"orange","orng-10",10,17
2023,"orange","orng-10",10,8
2024,"orange","orng-10",10,19
1999,"orange","orng-11",11,25
2000,"orange","orng-11",11,8
2001,"orange","orng-11",11,14
2002,"orange","orng-11",11,8
2003,"orange","orng-11",11,8
2004,"orange","orng-11",11,14
2005,"orange","orng-11",11,8
2006,"orange","orng-11",11,14
2007,"orange","orng-11",11,12
2008,"orange","orng-11",11,10
2009,"orange","orng-11",11,10
2017,"orange","orng-11",11,5
2018,"orange","orng-11",11,12
2019,"orange","orng-11",11,5
2020,"orange","orng-11",11,2
2021,"orange","orng-11",11,7
2022,"orange","orng-11",11,13
2023,"orange","orng-11",11,17
2024,"orange","orng-11",11,23
1999,"orange","orng-12",12,13
2000,"orange","orng-12",12,18
2001,"orange","orng-12",12,16
2002,"orange","orng-12",12,22
2003,"orange","orng-12",12,10
2004,"orange","orng-12",12,23
2005,"orange","orng-12",12,16
2006,"orange","orng-12",12,12
2007,"orange","orng-12",12,15
2008,"orange","orng-12",12,17
2009,"orange","orng-12",12,2
2010,"orange","orng-12",12,19
2011,"orange","orng-12",12,19
2012,"orange","orng-12",12,11
2013,"orange","orng-12",12,24
2014,"orange","orng-12",12,12
2015,"orange","orng-12",12,4
2016,"orange","orng-12",12,22
2017,"orange","orng-12",12,23
2018,"orange","orng-12",12,20
2019,"orange","orng-12",12,24
2020,"orange","orng-12",12,12
2021,"orange","orng-12",12,6
2022,"orange","orng-12",12,11
2023,"orange","orng-12",12,21
2024,"orange","orng-12",12,5
2000,"chatham","cthm-01",1,13
2001,"chatham","cthm-01",1,15
2002,"chatham","cthm-01",1,26
2003,"chatham","cthm-01",1,18
2004,"chatham","cthm-01",1,13
2005,"chatham","cthm-01",1,4
2006,"chatham","cthm-01",1,14
2007,"chatham","cthm-01",1,10
2008,"chatham","cthm-01",1,15
2009,"chatham","cthm-01",1,9
2010,"chatham","cthm-01",1,17
2011,"chatham","cthm-01",1,12
2012,"chatham","cthm-01",1,17
2013,"chatham","cthm-01",1,17
2014,"chatham","cthm-01",1,20
2015,"chatham","cthm-01",1,17
2016,"chatham","cthm-01",1,10
2017,"chatham","cthm-01",1,10
2018,"chatham","cthm-01",1,15
2019,"chatham","cthm-01",1,16
2020,"chatham","cthm-01",1,6
2021,"chatham","cthm-01",1,12
2022,"chatham","cthm-01",1,16
2023,"chatham","cthm-01",1,7
2024,"chatham","cthm-01",1,16
2000,"chatham","cthm-02",2,18
2001,"chatham","cthm-02",2,13
2002,"chatham","cthm-02",2,16
2003,"chatham","cthm-02",2,22
2004,"chatham","cthm-02",2,12
2005,"chatham","cthm-02",2,18
2006,"chatham","cthm-02",2,9
2007,"chatham","cthm-02",2,12
2008,"chatham","cthm-02",2,10
2009,"chatham","cthm-02",2,16
2010,"chatham","cthm-02",2,18
2011,"chatham","cthm-02",2,16
2012,"chatham","cthm-02",2,15
2013,"chatham","cthm-02",2,14
2014,"chatham","cthm-02",2,18
2015,"chatham","cthm-02",2,23
2016,"chatham","cthm-02",2,19
2017,"chatham","cthm-02",2,21
2018,"chatham","cthm-02",2,19
2019,"chatham","cthm-02",2,24
2020,"chatham","cthm-02",2,11
2021,"chatham","cthm-02",2,13
2022,"chatham","cthm-02",2,10
2023,"chatham","cthm-02",2,4
2024,"chatham","cthm-02",2,21
2000,"chatham","cthm-03",3,25
2001,"chatham","cthm-03",3,21
2002,"chatham","cthm-03",3,15
2003,"chatham","cthm-03",3,16
2004,"chatham","cthm-03",3,12
2005,"chatham","cthm-03",3,13
2006,"chatham","cthm-03",3,13
2007,"chatham","cthm-03",3,8
2008,"chatham","cthm-03",3,9
2009,"chatham","cthm-03",3,13
2010,"chatham","cthm-03",3,11
2011,"chatham","cthm-03",3,6
2012,"chatham","cthm-03",3,15
2013,"chatham","cthm-03",3,19
2014,"chatham","cthm-03",3,16
2015,"chatham","cthm-03",3,28
2016,"chatham","cthm-03",3,11
2017,"chatham","cthm-03",3,10
2018,"chatham","cthm-03",3,10
2019,"chatham","cthm-03",3,17
2020,"chatham","cthm-03",3,6
2021,"chatham","cthm-03",3,3
2022,"chatham","cthm-03",3,8
2023,"chatham","cthm-03",3,1
2024,"chatham","cthm-03",3,5
2000,"chatham","cthm-04",4,17
2001,"chatham","cthm-04",4,7
2002,"chatham","cthm-04",4,7
2003,"chatham","cthm-04",4,10
2004,"chatham","cthm-04",4,6
2005,"chatham","cthm-04",4,12
2006,"chatham","cthm-04",4,5
2007,"chatham","cthm-04",4,8
2008,"chatham","cthm-04",4,16
2009,"chatham","cthm-04",4,16
2010,"chatham","cthm-04",4,12
2011,"chatham","cthm-04",4,6
2012,"chatham","cthm-04",4,12
2013,"chatham","cthm-04",4,14
2014,"chatham","cthm-04",4,21
2015,"chatham","cthm-04",4,24
2016,"chatham","cthm-04",4,17
2017,"chatham","cthm-04",4,14
2018,"chatham","cthm-04",4,27
2019,"chatham","cthm-04",4,20
2020,"chatham","cthm-04",4,5
2021,"chatham","cthm-04",4,7
2022,"chatham","cthm-04",4,10
2023,"chatham","cthm-04",4,13
2024,"chatham","cthm-04",4,10
2000,"chatham","cthm-05",5,10
2001,"chatham","cthm-05",5,17
2002,"chatham","cthm-05",5,17
2003,"chatham","cthm-05",5,17
2004,"chatham","cthm-05",5,18
2005,"chatham","cthm-05",5,12
2006,"chatham","cthm-05",5,19
2007,"chatham","cthm-05",5,5
2008,"chatham","cthm-05",5,15
2009,"chatham","cthm-05",5,10
2010,"chatham","cthm-05",5,18
2011,"chatham","cthm-05",5,38
2012,"chatham","cthm-05",5,20
2013,"chatham","cthm-05",5,25
2014,"chatham","cthm-05",5,22
2015,"chatham","cthm-05",5,22
2016,"chatham","cthm-05",5,16
2017,"chatham","cthm-05",5,13
2018,"chatham","cthm-05",5,28
2019,"chatham","cthm-05",5,16
2020,"chatham","cthm-05",5,11
2021,"chatham","cthm-05",5,15
2022,"chatham","cthm-05",5,9
2023,"chatham","cthm-05",5,14
2024,"chatham","cthm-05",5,12
2000,"chatham","cthm-06",6,13
2001,"chatham","cthm-06",6,8
2002,"chatham","cthm-06",6,12
2003,"chatham","cthm-06",6,6
2004,"chatham","cthm-06",6,7
2005,"chatham","cthm-06",6,11
2006,"chatham","cthm-06",6,6
2007,"chatham","cthm-06",6,1
2008,"chatham","cthm-06",6,6
2009,"chatham","cthm-06",6,8
2010,"chatham","cthm-06",6,8
2018,"chatham","cthm-06",6,15
2019,"chatham","cthm-06",6,6
2020,"chatham","cthm-06",6,8
2021,"chatham","cthm-06",6,11
2022,"chatham","cthm-06",6,10
2023,"chatham","cthm-06",6,9
2024,"chatham","cthm-06",6,13
2000,"chatham","cthm-07",7,9
2001,"chatham","cthm-07",7,7
2002,"chatham","cthm-07",7,7
2003,"chatham","cthm-07",7,10
2004,"chatham","cthm-07",7,10
2005,"chatham","cthm-07",7,3
2006,"chatham","cthm-07",7,2
2007,"chatham","cthm-07",7,3
2008,"chatham","cthm-07",7,10
2009,"chatham","cthm-07",7,6
2010,"chatham","cthm-07",7,13
2011,"chatham","cthm-07",7,6
2012,"chatham","cthm-07",7,6
2013,"chatham","cthm-07",7,14
2014,"chatham","cthm-07",7,9
2015,"chatham","cthm-07",7,9
2016,"chatham","cthm-07",7,8
2017,"chatham","cthm-07",7,18
2018,"chatham","cthm-07",7,12
2019,"chatham","cthm-07",7,9
2020,"chatham","cthm-07",7,9
2021,"chatham","cthm-07",7,4
2022,"chatham","cthm-07",7,8
2023,"chatham","cthm-07",7,7
2024,"chatham","cthm-07",7,8
2000,"chatham","cthm-08",8,12
2001,"chatham","cthm-08",8,16
2002,"chatham","cthm-08",8,1
2003,"chatham","cthm-08",8,7
2004,"chatham","cthm-08",8,2
2005,"chatham","cthm-08",8,2
2006,"chatham","cthm-08",8,5
2007,"chatham","cthm-08",8,4
2008,"chatham","cthm-08",8,9
2009,"chatham","cthm-08",8,6
2010,"chatham","cthm-08",8,1
2011,"chatham","cthm-08",8,8
2012,"chatham","cthm-08",8,4
2013,"chatham","cthm-08",8,5
2014,"chatham","cthm-08",8,7
2015,"chatham","cthm-08",8,22
2016,"chatham","cthm-08",8,7
2017,"chatham","cthm-08",8,10
2019,"chatham","cthm-08",8,21
2020,"chatham","cthm-08",8,14
2021,"chatham","cthm-08",8,13
2022,"chatham","cthm-08",8,21
2023,"chatham","cthm-08",8,17
2024,"chatham","cthm-08",8,27
2000,"chatham","cthm-09",9,7
2001,"chatham","cthm-09",9,20
2002,"chatham","cthm-09",9,24
2003,"chatham","cthm-09",9,22
2005,"chatham","cthm-09",9,9
2006,"chatham","cthm-09",9,13
2007,"chatham","cthm-09",9,8
2008,"chatham","cthm-09",9,23
2009,"chatham","cthm-09",9,28
2010,"chatham","cthm-09",9,21
2011,"chatham","cthm-09",9,18
2012,"chatham","cthm-09",9,14
2013,"chatham","cthm-09",9,21
2014,"chatham","cthm-09",9,20
2015,"chatham","cthm-09",9,24
2016,"chatham","cthm-09",9,21
2017,"chatham","cthm-09",9,17
2018,"chatham","cthm-09",9,24
2019,"chatham","cthm-09",9,14
2020,"chatham","cthm-09",9,14
2021,"chatham","cthm-09",9,7
2022,"chatham","cthm-09",9,9
2023,"chatham","cthm-09",9,10
2024,"chatham","cthm-09",9,13
2000,"chatham","cthm-10",10,6
2001,"chatham","cthm-10",10,8
2002,"chatham","cthm-10",10,13
2003,"chatham","cthm-10",10,7
2004,"chatham","cthm-10",10,4
2005,"chatham","cthm-10",10,3
2006,"chatham","cthm-10",10,2
2007,"chatham","cthm-10",10,3
2008,"chatham","cthm-10",10,1
2009,"chatham","cthm-10",10,0
2010,"chatham","cthm-10",10,4
2011,"chatham","cthm-10",10,4
2012,"chatham","cthm-10",10,9
2013,"chatham","cthm-10",10,6
2015,"chatham","cthm-10",10,3
2016,"chatham","cthm-10",10,10
2017,"chatham","cthm-10",10,11
2018,"chatham","cthm-10",10,5
2019,"chatham","cthm-10",10,2
2020,"chatham","cthm-10",10,7
2021,"chatham","cthm-10",10,5
2022,"chatham","cthm-10",10,11
2023,"chatham","cthm-10",10,11
2024,"chatham","cthm-10",10,10
2000,"chatham","cthm-11",11,15
2001,"chatham","cthm-11",11,5
2002,"chatham","cthm-11",11,10
2003,"chatham","cthm-11",11,10
2005,"chatham","cthm-11",11,16
2006,"chatham","cthm-11",11,10
2007,"chatham","cthm-11",11,10
2008,"chatham","cthm-11",11,12
2009,"chatham","cthm-11",11,13
2010,"chatham","cthm-11",11,10
2011,"chatham","cthm-11",11,6
2012,"chatham","cthm-11",11,0
2013,"chatham","cthm-11",11,4
2016,"chatham","cthm-11",11,9
2020,"chatham","cthm-11",11,5
2022,"chatham","cthm-11",11,11
2023,"chatham","cthm-11",11,6
2024,"chatham","cthm-11",11,14
2000,"chatham","cthm-12",12,4
2001,"chatham","cthm-12",12,7
2002,"chatham","cthm-12",12,8
2003,"chatham","cthm-12",12,6
2004,"chatham","cthm-12",12,5
2005,"chatham","cthm-12",12,4
2006,"chatham","cthm-12",12,6
2007,"chatham","cthm-12",12,2
2008,"chatham","cthm-12",12,11
2009,"chatham","cthm-12",12,5
2017,"chatham","cthm-12",12,11
2019,"chatham","cthm-12",12,16
2020,"chatham","cthm-12",12,10
2021,"chatham","cthm-12",12,16
2022,"chatham","cthm-12",12,11
2023,"chatham","cthm-12",12,5
2024,"chatham","cthm-12",12,10
2000,"chatham","cthm-13",13,5
2001,"chatham","cthm-13",13,5
2002,"chatham","cthm-13",13,13
2003,"chatham","cthm-13",13,4
2004,"chatham","cthm-13",13,5
2005,"chatham","cthm-13",13,3
2006,"chatham","cthm-13",13,0
2007,"chatham","cthm-13",13,4
2008,"chatham","cthm-13",13,10
2009,"chatham","cthm-13",13,6
2010,"chatham","cthm-13",13,12
2011,"chatham","cthm-13",13,13
2012,"chatham","cthm-13",13,8
2013,"chatham","cthm-13",13,18
2014,"chatham","cthm-13",13,8
2015,"chatham","cthm-13",13,16
2016,"chatham","cthm-13",13,15
2017,"chatham","cthm-13",13,16
2018,"chatham","cthm-13",13,15
2019,"chatham","cthm-13",13,14
2020,"chatham","cthm-13",13,6
2021,"chatham","cthm-13",13,9
2022,"chatham","cthm-13",13,10
2023,"chatham","cthm-13",13,3
2024,"chatham","cthm-13",13,4
2000,"chatham","cthm-14",14,12
2001,"chatham","cthm-14",14,18
2002,"chatham","cthm-14",14,10
2003,"chatham","cthm-14",14,9
2004,"chatham","cthm-14",14,8
2005,"chatham","cthm-14",14,9
2006,"chatham","cthm-14",14,10
2007,"chatham","cthm-14",14,1
2008,"chatham","cthm-14",14,10
2009,"chatham","cthm-14",14,5
2014,"chatham","cthm-14",14,17
2015,"chatham","cthm-14",14,10
2019,"chatham","cthm-14",14,0
2020,"chatham","cthm-14",14,19
2021,"chatham","cthm-14",14,17
2022,"chatham","cthm-14",14,8
2023,"chatham","cthm-14",14,13
2024,"chatham","cthm-14",14,10
2002,"durham","drhm-01",1,5
2003,"durham","drhm-01",1,9
2004,"durham","drhm-01",1,1
2005,"durham","drhm-01",1,6
2006,"durham","drhm-01",1,7
2007,"durham","drhm-01",1,1
2008,"durham","drhm-01",1,5
2009,"durham","drhm-01",1,2
2010,"durham","drhm-01",1,12
2011,"durham","drhm-01",1,15
2012,"durham","drhm-01",1,15
2013,"durham","drhm-01",1,9
2014,"durham","drhm-01",1,4
2015,"durham","drhm-01",1,5
2016,"durham","drhm-01",1,8
2017,"durham","drhm-01",1,5
2018,"durham","drhm-01",1,17
2019,"durham","drhm-01",1,9
2020,"durham","drhm-01",1,3
2021,"durham","drhm-01",1,18
2022,"durham","drhm-01",1,9
2023,"durham","drhm-01",1,16
2024,"durham","drhm-01",1,9
2002,"durham","drhm-02",2,15
2003,"durham","drhm-02",2,27
2004,"durham","drhm-02",2,16
2005,"durham","drhm-02",2,3
2006,"durham","drhm-02",2,4
2007,"durham","drhm-02",2,24
2008,"durham","drhm-02",2,17
2009,"durham","drhm-02",2,14
2010,"durham","drhm-02",2,4
2011,"durham","drhm-02",2,11
2012,"durham","drhm-02",2,5
2013,"durham","drhm-02",2,8
2014,"durham","drhm-02",2,9
2015,"durham","drhm-02",2,8
2017,"durham","drhm-02",2,22
2018,"durham","drhm-02",2,31
2019,"durham","drhm-02",2,8
2020,"durham","drhm-02",2,17
2022,"durham","drhm-02",2,18
2023,"durham","drhm-02",2,28
2024,"durham","drhm-02",2,17
2002,"durham","drhm-03",3,4
2003,"durham","drhm-03",3,10
2004,"durham","drhm-03",3,12
2005,"durham","drhm-03",3,4
2006,"durham","drhm-03",3,12
2007,"durham","drhm-03",3,13
2008,"durham","drhm-03",3,12
2009,"durham","drhm-03",3,8
2010,"durham","drhm-03",3,7
2011,"durham","drhm-03",3,7
2012,"durham","drhm-03",3,8
2013,"durham","drhm-03",3,5
2014,"durham","drhm-03",3,5
2015,"durham","drhm-03",3,10
2016,"durham","drhm-03",3,9
2017,"durham","drhm-03",3,10
2018,"durham","drhm-03",3,17
2019,"durham","drhm-03",3,10
2020,"durham","drhm-03",3,15
2021,"durham","drhm-03",3,9
2022,"durham","drhm-03",3,10
2023,"durham","drhm-03",3,10
2024,"durham","drhm-03",3,11
2002,"durham","drhm-04",4,8
2003,"durham","drhm-04",4,8
2004,"durham","drhm-04",4,5
2005,"durham","drhm-04",4,4
2006,"durham","drhm-04",4,1
2007,"durham","drhm-04",4,12
2008,"durham","drhm-04",4,14
2009,"durham","drhm-04",4,14
2010,"durham","drhm-04",4,5
2011,"durham","drhm-04",4,16
2012,"durham","drhm-04",4,6
2013,"durham","drhm-04",4,12
2014,"durham","drhm-04",4,10
2018,"durham","drhm-04",4,10
2019,"durham","drhm-04",4,8
2020,"durham","drhm-04",4,13
2021,"durham","drhm-04",4,5
2022,"durham","drhm-04",4,14
2023,"durham","drhm-04",4,14
2024,"durham","drhm-04",4,19
2002,"durham","drhm-05",5,22
2003,"durham","drhm-05",5,1
2004,"durham","drhm-05",5,15
2005,"durham","drhm-05",5,12
2006,"durham","drhm-05",5,10
2007,"durham","drhm-05",5,1
2008,"durham","drhm-05",5,22
2009,"durham","drhm-05",5,6
2010,"durham","drhm-05",5,6
2011,"durham","drhm-05",5,10
2012,"durham","drhm-05",5,18
2013,"durham","drhm-05",5,8
2014,"durham","drhm-05",5,9
2015,"durham","drhm-05",5,18
2016,"durham","drhm-05",5,8
2017,"durham","drhm-05",5,13
2018,"durham","drhm-05",5,10
2019,"durham","drhm-05",5,10
2020,"durham","drhm-05",5,6
2021,"durham","drhm-05",5,8
2022,"durham","drhm-05",5,14
2023,"durham","drhm-05",5,7
2024,"durham","drhm-05",5,9
2002,"durham","drhm-06",6,6
2003,"durham","drhm-06",6,9
2004,"durham","drhm-06",6,4
2005,"durham","drhm-06",6,3
2006,"durham","drhm-06",6,7
2007,"durham","drhm-06",6,5
2008,"durham","drhm-06",6,13
2009,"durham","drhm-06",6,10
2010,"durham","drhm-06",6,2
2011,"durham","drhm-06",6,23
2012,"durham","drhm-06",6,8
2013,"durham","drhm-06",6,5
2014,"durham","drhm-06",6,5
2015,"durham","drhm-06",6,13
2016,"durham","drhm-06",6,1
2017,"durham","drhm-06",6,8
2018,"durham","drhm-06",6,12
2019,"durham","drhm-06",6,14
2020,"durham","drhm-06",6,11
2021,"durham","drhm-06",6,5
2022,"durham","drhm-06",6,9
2023,"durham","drhm-06",6,2
2024,"durham","drhm-06",6,6
2002,"durham","drhm-07",7,8
2003,"durham","drhm-07",7,3
2004,"durham","drhm-07",7,10
2005,"durham","drhm-07",7,5
2006,"durham","drhm-07",7,9
2007,"durham","drhm-07",7,3
2008,"durham","drhm-07",7,15
2009,"durham","drhm-07",7,7
2010,"durham","drhm-07",7,8
2011,"durham","drhm-07",7,12
2012,"durham","drhm-07",7,8
2013,"durham","drhm-07",7,4
2015,"durham","drhm-07",7,6
2016,"durham","drhm-07",7,4
2017,"durham","drhm-07",7,6
2018,"durham","drhm-07",7,13
2019,"durham","drhm-07",7,3
2020,"durham","drhm-07",7,2
2021,"durham","drhm-07",7,12
2022,"durham","drhm-07",7,7
2023,"durham","drhm-07",7,9
2024,"durham","drhm-07",7,4
2002,"durham","drhm-08",8,5
2003,"durham","drhm-08",8,14
2004,"durham","drhm-08",8,0
2005,"durham","drhm-08",8,1
2006,"durham","drhm-08",8,9
2007,"durham","drhm-08",8,0
2008,"durham","drhm-08",8,2
2011,"durham","drhm-08",8,7
2012,"durham","drhm-08",8,15
2013,"durham","drhm-08",8,18
2014,"durham","drhm-08",8,19
2015,"durham","drhm-08",8,21
2016,"durham","drhm-08",8,13
2017,"durham","drhm-08",8,20
2018,"durham","drhm-08",8,15
2019,"durham","drhm-08",8,2
2020,"durham","drhm-08",8,6
2021,"durham","drhm-08",8,8
2022,"durham","drhm-08",8,8
2023,"durham","drhm-08",8,12
2024,"durham","drhm-08",8,14
